Data,real,previsto_gru,erro,erro_absoluto,erro_percentual_abs
2026-02-15,3182.0,4619.468883424997,-1437.4688834249973,1437.4688834249973,45.17501204981135
2026-02-16,7101.0,8240.220756530762,-1139.2207565307617,1139.2207565307617,16.043103176042273
2026-02-17,6479.0,1767.776541560888,4711.223458439112,4711.223458439112,72.71528721159302
2026-02-18,27554.0,29890.40210068226,-2336.4021006822586,2336.4021006822586,8.479357264579585
2026-02-19,38385.0,44562.650611400604,-6177.650611400604,6177.650611400604,16.093918487431562
2026-02-20,35121.0,39201.63398742676,-4080.633987426758,4080.633987426758,11.618786445222966
2026-02-21,6327.0,7572.542927116156,-1245.5429271161556,1245.5429271161556,19.686153423678768
2026-02-22,5643.0,6444.095244854689,-801.0952448546886,801.0952448546886,14.196265193242755
2026-02-23,42183.0,48492.15607762337,-6309.156077623367,6309.156077623367,14.956632002520841
2026-02-24,39153.0,46031.94644212723,-6878.946442127228,6878.946442127228,17.56939811030375
2026-02-25,38658.0,42431.73498392105,-3773.734983921051,3773.734983921051,9.761847441463736
2026-02-26,37294.0,38854.840894937515,-1560.8408949375153,1560.8408949375153,4.1852332679184725
2026-02-27,32725.0,34633.966826200485,-1908.9668262004852,1908.9668262004852,5.83335928556298
2026-02-28,5253.0,5351.101101785898,-98.10110178589821,98.10110178589821,1.8675252576793873
2026-03-01,5080.0,6166.744104623795,-1086.7441046237946,1086.7441046237946,21.392600484720365
2026-03-02,44196.0,47204.97617840767,-3008.976178407669,3008.976178407669,6.808254544320004
2026-03-03,42288.0,45441.94743871689,-3153.9474387168884,3153.9474387168884,7.4582563344610495
2026-03-04,39936.0,42513.251284360886,-2577.2512843608856,2577.2512843608856,6.453453736881223
2026-03-05,41355.0,38965.98742365837,2389.012576341629,2389.012576341629,5.776840953552482
2026-03-06,33470.0,35507.76302218437,-2037.763022184372,2037.763022184372,6.088326926155877
2026-03-07,5353.0,5660.026087015867,-307.02608701586723,307.02608701586723,5.735589146569535
2026-03-08,5146.0,4964.82348844409,181.1765115559101,181.1765115559101,3.520725059384184
2026-03-09,42451.0,46316.8132019043,-3865.813201904297,3865.813201904297,9.10653035712774
2026-03-10,42083.0,44438.10634613037,-2355.106346130371,2355.106346130371,5.596336635055417
2026-03-11,41770.0,41821.024173498154,-51.02417349815369,51.02417349815369,0.12215507181746153
2026-03-12,40791.0,38944.35884475708,1846.64115524292,1846.64115524292,4.527079883412812
2026-03-13,34239.0,35347.697867155075,-1108.697867155075,1108.697867155075,3.238114042919113
2026-03-14,5780.0,5576.502840220928,203.4971597790718,203.4971597790718,3.5207121069043565
2026-03-15,5293.0,4918.701418489218,374.29858151078224,374.29858151078224,7.0715772059471425
2026-03-16,44149.0,46415.22142648697,-2266.221426486969,2266.221426486969,5.133120628976803
2026-03-17,42265.0,44956.91881656647,-2691.9188165664673,2691.9188165664673,6.36914424835317
2026-03-18,43372.0,42194.84997391701,1177.1500260829926,1177.1500260829926,2.714078267276106
2026-03-19,38007.0,39551.5955722332,-1544.5955722332,1544.5955722332,4.063976562825795
2026-03-20,27365.0,35081.92650079727,-7716.926500797272,7716.926500797272,28.199987212853177
2026-03-21,6839.0,4981.040399074554,1857.9596009254456,1857.9596009254456,27.16712386204775
2026-03-22,5638.0,4821.443179696798,816.5568203032017,816.5568203032017,14.4830936556084
2026-03-23,43783.0,45851.30217075348,-2068.302170753479,2068.302170753479,4.723984584778291
2026-03-24,42087.0,44480.60756921768,-2393.607569217682,2393.607569217682,5.6872848366899085
2026-03-25,40568.0,41838.41067194939,-1270.4106719493866,1270.4106719493866,3.1315585484849797
2026-03-26,39580.0,38655.330423116684,924.669576883316,924.669576883316,2.3362040851018597
2026-03-27,33921.0,34876.01068854332,-955.0106885433197,955.0106885433197,2.8153966231635854
2026-03-28,4973.0,5526.494542062283,-553.4945420622826,553.4945420622826,11.129992802378496
2026-03-29,5310.0,4859.576165676117,450.42383432388306,450.42383432388306,8.482558085195539
2026-03-30,43844.0,46109.72729921341,-2265.7272992134094,2265.7272992134094,5.167702078308114
2026-03-31,39341.0,44674.81845617294,-5333.818456172943,5333.818456172943,13.55791275303867
2026-04-01,27669.0,42944.63668823242,-15275.636688232422,15275.636688232422,55.20848851867586
2026-04-02,18907.0,36183.77372503281,-17276.773725032806,17276.773725032806,91.37765761375579
2026-04-03,4345.0,2902.0746760070324,1442.9253239929676,1442.9253239929676,33.20886821617877
2026-04-04,3871.0,4611.930646151304,-740.9306461513042,740.9306461513042,19.140548854334906
2026-04-05,4581.0,4814.023057222366,-233.02305722236633,233.02305722236633,5.086729037816336
2026-04-06,43393.0,44153.19133520126,-760.1913352012634,760.1913352012634,1.7518754988160843
2026-04-07,46559.0,43164.27593231201,3394.7240676879883,3394.7240676879883,7.291230627135438
2026-04-08,40508.0,42141.1826300621,-1633.1826300621033,1633.1826300621033,4.031753308141857
2026-04-09,37632.0,38579.47157025337,-947.4715702533722,947.4715702533722,2.517728449865466
2026-04-10,33542.0,34271.0679012537,-729.0679012537003,729.0679012537003,2.1735969866248293
2026-04-11,6146.0,5573.73694345355,572.2630565464497,572.2630565464497,9.311146380514963
2026-04-12,6297.0,5171.769161224365,1125.2308387756348,1125.2308387756348,17.86931616286541
2026-04-13,44365.0,46137.12591171265,-1772.1259117126465,1772.1259117126465,3.994423333061302
2026-04-14,42064.0,44740.649111270905,-2676.6491112709045,2676.6491112709045,6.3632776513667375
2026-04-15,39404.0,41937.546684741974,-2533.546684741974,2533.546684741974,6.429668776626672
